Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Christchurch Aero,4843,H32451,-43.493,172.537,37,G,N/A
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Max_min: Daily
Station,Date(NZST),Tmax(C),Period(Hrs),Tmin(C),Period(Hrs),Tgmin(C),Period(Hrs),Tmean(C),RHmean(%),Period(Hrs),Freq
4843,20170603:0900,12.7,24,5.5,24,-,-,-,-,-,D
4843,20170604:0900,10.3,24,1.0,24,-,-,-,-,-,D
4843,20170605:0900,7.3,24,4.6,24,-,-,-,-,-,D
4843,20170606:0900,7.8,24,5.6,24,-,-,-,-,-,D
4843,20170607:0900,9.8,24,4.2,24,-,-,-,-,-,D
4843,20170608:0900,11.5,24,4.3,24,-,-,-,-,-,D
4843,20170609:0900,12.5,24,-2.1,24,-,-,-,-,-,D
4843,20170610:0900,11.3,24,-0.3,24,-,-,-,-,-,D
4843,20170611:0900,11.2,24,-2.5,24,-,-,-,-,-,D
4843,20170612:0900,14.4,24,-0.1,24,-,-,-,-,-,D
4843,20170613:0900,19.7,24,4.7,24,-,-,-,-,-,D
4843,20170614:0900,15.4,24,-0.5,24,-,-,-,-,-,D
4843,20170615:0900,10.4,24,-3.0,24,-,-,-,-,-,D
4843,20170616:0900,10.1,24,-0.5,24,-,-,-,-,-,D
4843,20170617:0900,11.2,24,-2.2,24,-,-,-,-,-,D
4843,20170618:0900,12.5,24,-3.3,24,-,-,-,-,-,D
4843,20170619:0900,10.7,24,-1.0,24,-,-,-,-,-,D
4843,20170620:0900,12.5,24,-0.6,24,-,-,-,-,-,D
4843,20170621:0900,12.9,24,1.5,24,-2.6,24,-,-,-,D
4843,20170622:0900,15.1,24,4.9,24,4.3,24,-,-,-,D
4843,20170623:0900,9.2,24,5.5,24,4.5,24,-,-,-,D
4843,20170624:0900,7.1,24,5.5,24,4.0,24,-,-,-,D
4843,20170625:0900,11.5,24,-1.6,24,-5.0,24,-,-,-,D
4843,20170626:0900,7.7,24,-3.2,24,-6.8,24,-,-,-,D
4843,20170627:0900,9.8,24,-1.7,24,-5.1,24,-,-,-,D
4843,20170628:0900,10.1,24,1.4,24,-0.2,24,-,-,-,D
4843,20170629:0900,10.3,24,4.0,24,-1.5,24,-,-,-,D
4843,20170630:0900,9.9,24,2.3,24,-1.6,24,-,-,-,D
4843,20170701:0900,12.9,24,6.6,24,4.8,24,-,-,-,D
4843,20170702:0900,10.3,24,6.7,24,3.1,24,-,-,-,D
4843,20170703:0900,9.7,24,4.7,24,3.2,24,-,-,-,D
4843,20170704:0900,12.4,24,1.2,24,-2.9,24,-,-,-,D
4843,20170705:0900,11.3,24,2.7,24,-1.6,24,-,-,-,D
4843,20170706:0900,9.8,24,1.9,24,-1.5,24,-,-,-,D
4843,20170707:0900,9.1,24,-0.9,24,-4.4,24,-,-,-,D
4843,20170708:0900,8.0,24,-0.8,24,-3.2,24,-,-,-,D
4843,20170709:0900,9.9,24,0.3,24,0.1,24,-,-,-,D
4843,20170710:0900,9.8,24,3.5,24,0.7,24,-,-,-,D
4843,20170711:0900,10.8,24,-3.9,24,-7.5,24,-,-,-,D
4843,20170712:0900,10.4,24,-0.6,24,-2.1,24,-,-,-,D
4843,20170713:0900,3.9,24,0.8,24,-0.3,24,-,-,-,D
4843,20170714:0900,7.8,24,3.2,24,2.3,24,-,-,-,D
4843,20170715:0900,7.9,24,-2.2,24,-5.0,24,-,-,-,D
4843,20170716:0900,9.0,24,-2.6,24,-7.1,24,-,-,-,D
4843,20170717:0900,11.1,24,0.8,24,-0.1,24,-,-,-,D
4843,20170718:0900,10.1,24,5.1,24,2.4,24,-,-,-,D
4843,20170719:0900,10.9,24,-1.5,24,-4.2,24,-,-,-,D
4843,20170720:0900,12.2,24,0.6,24,-3.1,24,-,-,-,D
4843,20170721:0900,14.7,24,6.6,24,4.4,24,-,-,-,D
4843,20170722:0900,11.2,24,5.9,24,5.4,24,-,-,-,D
4843,20170723:0900,7.0,24,4.4,24,2.8,24,-,-,-,D
4843,20170724:0900,9.4,24,-0.4,24,-3.4,24,-,-,-,D
4843,20170725:0900,12.2,24,-1.3,24,-5.2,24,-,-,-,D
4843,20170726:0900,13.6,24,-2.5,24,-5.7,24,-,-,-,D
4843,20170727:0900,13.8,24,1.1,24,-0.1,24,-,-,-,D
4843,20170728:0900,8.9,24,2.7,24,0.8,24,-,-,-,D
4843,20170729:0900,6.8,24,-0.6,24,-4.4,24,-,-,-,D
4843,20170730:0900,8.5,24,-5.6,24,-8.8,24,-,-,-,D
4843,20170731:0900,8.7,24,-3.9,24,-7.5,24,-,-,-,D
4843,20170801:0900,11.7,24,-0.9,24,-1.2,24,-,-,-,D
4843,20170802:0900,12.7,24,5.3,24,2.2,24,-,-,-,D
4843,20170803:0900,8.5,24,2.6,24,-1.4,24,-,-,-,D
4843,20170804:0900,8.8,24,-2.9,24,-8.0,24,-,-,-,D
4843,20170805:0900,8.7,24,-0.9,24,-6.4,24,-,-,-,D
4843,20170806:0900,11.1,24,3.8,24,3.4,24,-,-,-,D
4843,20170807:0900,16.9,24,4.1,24,-1.3,24,-,-,-,D
4843,20170808:0900,19.8,24,4.1,24,0.7,24,-,-,-,D
4843,20170809:0900,12.0,24,6.0,24,2.2,24,-,-,-,D
4843,20170810:0900,9.3,24,4.7,24,4.8,24,-,-,-,D
4843,20170811:0900,13.6,24,0.2,24,-2.8,24,-,-,-,D
4843,20170812:0900,15.1,24,3.9,24,-1.0,24,-,-,-,D
4843,20170813:0900,18.2,24,5.3,24,-0.8,24,-,-,-,D
4843,20170814:0900,16.5,24,5.6,24,4.9,24,-,-,-,D
4843,20170815:0900,6.5,24,3.8,24,1.3,24,-,-,-,D
4843,20170816:0900,10.0,24,-1.5,24,-3.9,24,-,-,-,D
4843,20170817:0900,16.4,24,4.2,24,4.2,24,-,-,-,D
4843,20170818:0900,19.0,24,4.7,24,-1.1,24,-,-,-,D
4843,20170819:0900,17.7,24,-0.5,24,-3.8,24,-,-,-,D
4843,20170820:0900,11.7,24,4.4,24,7.0,24,-,-,-,D
4843,20170821:0900,10.4,24,5.8,24,4.3,24,-,-,-,D
4843,20170822:0900,9.7,24,-2.8,24,-6.9,24,-,-,-,D
4843,20170823:0900,12.9,24,-0.4,24,-5.6,24,-,-,-,D
4843,20170824:0900,13.0,24,-1.3,24,-4.8,24,-,-,-,D
4843,20170825:0900,18.0,24,-0.9,24,-4.0,24,-,-,-,D
4843,20170826:0900,17.0,24,1.2,24,-2.1,24,-,-,-,D
4843,20170827:0900,14.3,24,1.9,24,-1.2,24,-,-,-,D
4843,20170828:0900,17.9,24,5.7,24,0.1,24,-,-,-,D
4843,20170829:0900,15.9,24,2.3,24,-1.4,24,-,-,-,D
4843,20170830:0900,18.8,24,6.4,24,3.5,24,-,-,-,D
4843,20170831:0900,11.4,24,8.1,24,7.5,24,-,-,-,D
4843,20170901:0900,10.2,24,6.3,24,5.3,24,-,-,-,D
4843,20170902:0900,8.7,24,5.3,24,3.3,24,-,-,-,D
4843,20170903:0900,10.0,24,5.3,24,3.4,24,-,-,-,D
4843,20170904:0900,9.2,24,3.9,24,0.4,24,-,-,-,D
4843,20170905:0900,9.7,24,2.6,24,0.3,24,-,-,-,D
4843,20170906:0900,15.9,24,7.9,24,4.0,24,-,-,-,D
4843,20170907:0900,16.7,24,5.6,24,-1.1,24,-,-,-,D
4843,20170908:0900,15.9,24,-1.4,24,-4.9,24,-,-,-,D
4843,20170909:0900,16.7,24,2.5,24,-1.6,24,-,-,-,D
4843,20170910:0900,14.1,24,-0.6,24,-5.2,24,-,-,-,D
4843,20170911:0900,12.9,24,2.8,24,-0.8,24,-,-,-,D
4843,20170912:0900,13.1,24,3.9,24,-1.0,24,-,-,-,D
4843,20170913:0900,14.0,24,0.0,24,-2.5,24,-,-,-,D
4843,20170914:0900,14.0,24,2.8,24,0.0,24,-,-,-,D
4843,20170915:0900,20.2,24,9.4,24,4.1,24,-,-,-,D
4843,20170916:0900,23.6,24,9.3,24,6.8,24,-,-,-,D
4843,20170917:0900,13.8,24,2.0,24,-2.6,24,-,-,-,D
4843,20170918:0900,17.4,24,8.2,24,6.6,24,-,-,-,D
4843,20170919:0900,10.8,24,8.1,24,8.6,24,-,-,-,D
4843,20170920:0900,13.0,24,4.4,24,0.5,24,-,-,-,D
4843,20170921:0900,13.1,24,9.2,24,8.9,24,-,-,-,D
4843,20170922:0900,13.0,24,9.4,24,8.6,24,-,-,-,D
4843,20170923:0900,14.2,24,8.8,24,6.8,24,-,-,-,D
4843,20170924:0800,18.6,24,4.3,24,1.5,24,-,-,-,D
4843,20170925:0800,21.3,24,9.7,24,6.9,24,-,-,-,D
4843,20170926:0800,23.9,24,9.6,24,5.0,24,-,-,-,D
4843,20170927:0800,17.4,24,8.3,24,5.8,24,-,-,-,D
4843,20170928:0800,15.2,24,8.0,24,6.1,24,-,-,-,D
4843,20170929:0800,14.3,24,5.8,24,2.4,24,-,-,-,D
4843,20170930:0800,21.6,24,9.8,24,7.6,24,-,-,-,D
4843,20171001:0800,15.2,24,5.8,24,0.6,24,-,-,-,D
4843,20171002:0800,14.4,24,3.4,24,-1.6,24,-,-,-,D
4843,20171003:0800,16.6,24,4.3,24,-0.8,24,-,-,-,D
4843,20171004:0800,23.3,24,1.6,24,-1.7,24,-,-,-,D
4843,20171005:0800,20.5,24,7.8,24,6.2,24,-,-,-,D
4843,20171006:0800,12.8,24,3.0,24,-1.4,24,-,-,-,D
4843,20171007:0800,16.5,24,8.4,24,8.4,24,-,-,-,D
4843,20171008:0800,10.6,24,8.8,24,8.6,24,-,-,-,D
4843,20171009:0800,12.1,24,10.4,24,10.7,24,-,-,-,D
4843,20171010:0800,13.4,24,10.3,24,10.9,24,-,-,-,D
4843,20171011:0800,15.2,24,7.8,24,6.9,24,-,-,-,D
4843,20171012:0800,14.1,24,7.9,24,4.3,24,-,-,-,D
4843,20171013:0800,15.9,24,9.1,24,7.1,24,-,-,-,D
4843,20171014:0800,23.8,24,3.0,24,-0.7,24,-,-,-,D
4843,20171015:0800,18.8,24,6.8,24,5.4,24,-,-,-,D
4843,20171016:0800,16.5,24,9.0,24,7.2,24,-,-,-,D
4843,20171017:0800,11.0,24,2.7,24,-1.2,24,-,-,-,D
4843,20171018:0800,19.2,24,7.7,24,7.5,24,-,-,-,D
4843,20171019:0800,13.3,24,3.5,24,-0.2,24,-,-,-,D
4843,20171020:0800,21.6,24,4.7,24,2.0,24,-,-,-,D
4843,20171021:0800,15.5,24,9.8,24,8.0,24,-,-,-,D
4843,20171022:0800,21.3,24,4.8,24,0.6,24,-,-,-,D
4843,20171023:0800,20.9,24,7.5,24,4.6,24,-,-,-,D
4843,20171024:0800,18.8,24,8.1,24,5.2,24,-,-,-,D
4843,20171025:0800,17.6,24,4.1,24,0.6,24,-,-,-,D
4843,20171026:0800,19.8,24,5.4,24,2.5,24,-,-,-,D
4843,20171027:0800,15.4,24,9.2,24,8.4,24,-,-,-,D
4843,20171028:0800,15.9,24,5.3,24,1.1,24,-,-,-,D
4843,20171029:0800,17.6,24,12.0,24,10.2,24,-,-,-,D
4843,20171030:0800,19.3,24,6.6,24,3.7,24,-,-,-,D
4843,20171031:0800,25.5,24,7.3,24,4.8,24,-,-,-,D
4843,20171101:0800,23.3,24,14.0,24,13.0,24,-,-,-,D
4843,20171102:0800,18.8,24,8.6,24,5.3,24,-,-,-,D
4843,20171103:0800,22.9,24,12.6,24,8.8,24,-,-,-,D
4843,20171104:0800,26.4,24,16.5,24,11.2,24,-,-,-,D
4843,20171105:0800,25.2,24,10.7,24,6.0,24,-,-,-,D
4843,20171106:0800,20.6,24,3.5,24,-1.4,24,-,-,-,D
4843,20171107:0800,17.2,24,-1.1,24,-4.5,24,-,-,-,D
4843,20171108:0800,20.9,24,6.8,24,7.3,24,-,-,-,D
4843,20171109:0800,15.5,24,3.0,24,-3.0,24,-,-,-,D
4843,20171110:0800,20.7,24,8.1,24,5.0,24,-,-,-,D
4843,20171111:0800,15.7,24,3.9,24,0.0,24,-,-,-,D
4843,20171112:0800,16.5,24,7.2,24,3.4,24,-,-,-,D
4843,20171113:0800,15.5,24,7.9,24,7.0,24,-,-,-,D
4843,20171114:0800,15.8,24,6.9,24,4.5,24,-,-,-,D
4843,20171115:0800,17.3,24,1.4,24,-2.4,24,-,-,-,D
4843,20171116:0800,17.8,24,6.4,24,0.4,24,-,-,-,D
4843,20171117:0800,19.7,24,9.3,24,5.5,24,-,-,-,D
4843,20171118:0800,19.7,24,10.1,24,10.2,24,-,-,-,D
4843,20171119:0800,17.5,24,3.2,24,-1.3,24,-,-,-,D
4843,20171120:0800,21.2,24,6.1,24,2.3,24,-,-,-,D
4843,20171121:0800,19.5,24,12.0,24,9.7,24,-,-,-,D
4843,20171122:0800,19.3,24,7.0,24,2.7,24,-,-,-,D
4843,20171123:0800,21.5,24,8.1,24,4.4,24,-,-,-,D
4843,20171124:0800,21.1,24,13.5,24,14.0,24,-,-,-,D
4843,20171125:0800,19.7,24,10.2,24,7.0,24,-,-,-,D
4843,20171126:0800,21.3,24,13.2,24,13.5,24,-,-,-,D
4843,20171127:0800,19.1,24,13.9,24,12.6,24,-,-,-,D
4843,20171128:0800,23.1,24,14.7,24,13.2,24,-,-,-,D
4843,20171129:0800,20.5,24,14.0,24,11.8,24,-,-,-,D
4843,20171130:0800,20.3,24,14.4,24,14.3,24,-,-,-,D
4843,20171201:0800,23.1,24,15.1,24,13.7,24,-,-,-,D
4843,20171202:0800,24.0,24,9.1,24,5.6,24,-,-,-,D
4843,20171203:0800,30.4,24,12.2,24,8.1,24,-,-,-,D
4843,20171204:0800,28.0,24,13.4,24,10.0,24,-,-,-,D
4843,20171205:0800,26.7,24,10.1,24,6.1,24,-,-,-,D
4843,20171206:0800,30.7,24,11.2,24,8.0,24,-,-,-,D
4843,20171207:0800,22.5,24,16.4,24,16.4,24,-,-,-,D
4843,20171208:0800,22.6,24,14.4,24,8.6,24,-,-,-,D
4843,20171209:0800,32.5,24,15.2,24,10.6,24,-,-,-,D
4843,20171210:0800,31.0,24,19.0,24,16.2,24,-,-,-,D
4843,20171211:0800,30.5,24,8.2,24,4.2,24,-,-,-,D
4843,20171212:0800,28.3,24,13.9,24,12.8,24,-,-,-,D
4843,20171213:0800,18.2,24,11.8,24,10.2,24,-,-,-,D
4843,20171214:0800,18.9,24,7.8,24,5.0,24,-,-,-,D
4843,20171215:0800,20.8,24,10.8,24,7.0,24,-,-,-,D
